id,saleprice
2658,136921.621355342
2718,164011.4320021857
2414,226090.29032256678
1989,118340.59863056618
625,175609.71283527662
333,82642.49350005973
1327,91394.17537705398
858,140859.23920201795
95,183083.94718242876
1568,155782.86915278778
2482,153692.7257986014
1364,117053.30860685199
2584,160223.45070898745
818,273744.37782090134
2673,138720.97425508857
2089,122035.02208473205
1297,190010.76360549382
790,127670.9347973105
2616,188786.95174176496
720,193456.6098208631
222,146814.7506316778
557,124673.47492930226
1148,188441.83066102266
2766,169244.41276678402
534,177713.77055168655
1452,114268.43238081667
630,142067.82099458843
2648,135480.1917135967
125,154568.0269116749
1904,57473.852578070306
1670,103750.53001777489
756,102737.94816915136
717,179772.31291704575
1032,140087.15381330636
852,217087.70823139328
1731,184595.56654876197
2639,101555.90452112012
2071,77768.55810716313
1267,130479.38982560483
1851,201633.15554949697
567,167041.72957756897
2439,213701.67658929853
1898,153066.64994794189
647,165231.6093868511
2256,206905.70265781265
979,91276.42915214252
1444,231578.54517515126
2485,120214.46468294915
157,122565.13142170299
88,120310.12164311347
2003,102420.38155710882
186,222904.8773850228
1425,244742.52813059228
2695,122012.1236690899
738,98340.10000597416
395,149897.18151218287
1353,180433.86498303036
1878,154706.4151305469
390,169895.84165473247
1456,237541.4519076982
1103,313153.035551563
1387,126467.65355412396
2070,146761.4102083
1199,156655.70685430337
2479,184913.56117041394
501,335896.11174678
2362,86208.283212746
1718,221106.02810746693
2188,72164.75396145784
1483,148840.13531049623
2557,99665.71554913174
437,334265.4873151687
2224,195343.21012719066
1628,195702.94330231348
397,131837.26234510148
587,198801.51827663335
2182,474501.7002072474
971,146380.16374783532
2611,132900.2645095679
1887,99804.75168731666
2399,357260.50695616833
2148,214692.11971597717
304,141248.75608581293
1997,133692.5257940012
2817,126675.52070812816
1431,201286.13388223678
427,364432.73332132126
263,122145.77654782363
598,185065.58038411505
2895,237526.54847203253
687,137642.2034322721
1822,132241.82576200733
2191,92345.36272218697
179,107207.17639482708
1009,272052.05173759826
2010,123145.19701676958
1991,141989.22390410223
1411,163706.61620288625
1721,251426.83469384682
1144,203753.82128076834
593,222846.21148914396
575,280679.0719049041
1249,186644.79515589407
1604,131741.97402423638
1064,415141.10177154583
1923,142552.03073741877
1988,99737.0823160138
2325,175566.79825611043
114,198574.06487460394
2700,175425.20287061387
217,133621.0622094257
343,202711.9079295743
386,226207.5032745952
2005,104675.86486533898
2908,113571.80271651334
1814,229810.63418166584
2446,428005.02224259684
208,146893.00181891076
1679,115321.14325603133
822,301571.1837886994
6,184941.85643791803
1781,362520.1767856596
2397,324580.29343267914
2340,318581.1452384932
1618,153231.6300341921
2843,182359.79850650975
1061,350355.3436540669
2786,116109.66908129082
1935,133853.56385482464
1341,133683.1466457328
521,256240.20997572973
2136,134629.45078234115
996,183168.45340440105
227,136324.8866316973
135,168485.5316132991
1167,153309.93446425025
294,229129.93226427716
1776,205939.31246129103
540,168681.12524972705
1717,232508.87220125747
2303,116554.49604186584
116,188962.5411899124
127,146070.8497933395
1371,123056.87610945961
1014,175323.60067655813
1507,88666.20061336106
702,148385.0592716977
750,157229.51903045457
261,134825.11834600806
1559,72468.55485299106
577,205766.67303826366
2812,202854.93607861854
2080,143673.53534554824
1368,105669.8872938171
2376,122171.46500988123
659,119156.43726297063
1235,138901.90554595215
332,74252.00923346376
1917,145906.16562380473
2094,244183.92760266463
1460,260138.60969757376
1471,201432.35593325333
1509,102307.55516910845
1922,113112.53723161758
433,428109.12754189596
460,297489.8561059736
1116,233666.66353942215
1137,155248.32356354405
53,161733.80139263874
2354,254942.17844521045
1475,200506.44603601296
1761,426136.02208909066
842,130191.47079504585
2739,155215.98785968748
2509,161775.29795956542
1007,210639.5174856644
2610,171528.7333508623
1952,110666.9368375444
2719,165804.64579060848
2921,79865.63170396487
1966,153151.47125660523
292,144587.48516864952
1204,194682.5839503992
1829,238043.99615262242
2419,202861.0450201499
391,172915.47625814195
798,114424.31539371068
481,214941.34113078436
193,183905.24657402208
555,132996.82346952296
899,51753.099863714495
2357,182075.6398873796
328,114941.95590642183
1356,97288.81237513342
1154,114009.68741822423
1730,197820.49626061335
2249,158970.46158598986
1119,282865.50185415964
2856,143748.93215891518
1394,125767.30603518897
2587,119764.4853681029
61,322565.0686521346
2661,172438.2504435582
2711,122262.67863900644
1147,185271.6957431539
757,129931.15597427747
2623,103889.5248715994
2378,142325.90058864394
1413,135022.11691688487
1722,241375.5278883339
1112,223195.36345566923
1623,184551.45494370203
1201,215921.4927511934
1513,107359.74626147356
957,262401.02322043944
1171,240458.9525441369
1145,199589.96667784016
2726,208450.91230298424
703,159442.0289639151
760,115465.91031985659
1964,155577.12465471952
2512,195307.16628540374
159,130500.14793563038
1281,188823.81574845503
468,192916.83076349532
290,142576.9911870753
665,110515.6897618307
1463,256386.5146020347
1792,212505.74025400108
923,154698.3376011577
500,301409.00431617256
1408,125997.81109340757
331,85815.23921369729
170,164778.7957947068
2192,88203.54659085715
2571,262646.70235625294
2314,161208.06341635613
2647,82946.86997992937
422,415672.74057858536
2457,297798.5356601293
1838,194855.83608760472
2805,249287.0677847423
1645,171667.46395605392
1711,319592.2492828878
2825,226568.77449511434
322,304604.1737040494
2103,261120.5743030376
342,125554.09983879204
600,113471.31215052294
488,171383.8173606929
1725,323240.5702678795
2246,282949.35140177386
2847,150640.9127610094
806,231725.57736082902
530,228852.17409365534
963,193705.74272179077
2678,112477.44781857125
171,82689.33131821582
2401,406262.6021536103
805,228035.37964472844
2259,236152.19970513662
1748,207840.12588180878
1361,127800.30364669781
1677,107497.21697655266
1406,150732.10327591223
2322,260382.9140631789
